  Country (or dependency) ,  Population\n(2019)  
  China ,"1,420,062,022 "
  India ,"1,368,737,513 "
  United States ,"329,093,110 "
  Indonesia ,"269,536,482 "
  Brazil ,"212,392,717 "
  Pakistan ,"204,596,442 "
  Nigeria ,"200,962,417 "
  Bangladesh ,"168,065,920 "
  Russia ,"143,895,551 "
  Mexico ,"132,328,035 "
  Japan ,"126,854,745 "
  Ethiopia ,"110,135,635 "
  Philippines ,"108,106,310 "
  Egypt ,"101,168,745 "
  Vietnam ,"97,429,061 "
  DR Congo ,"86,727,573 "
  Turkey ,"82,961,805 "
  Iran ,"82,820,766 "
  Germany ,"82,438,639 "
  Thailand ,"69,306,160 "
  United Kingdom ,"66,959,016 "
  France ,"65,480,710 "
  Tanzania ,"60,913,557 "
  Italy ,"59,216,525 "
  South Africa ,"58,065,097 "
  Myanmar ,"54,336,138 "
  Kenya ,"52,214,791 "
  South Korea ,"51,339,238 "
  Colombia ,"49,849,818 "
  Spain ,"46,441,049 "
  Uganda ,"45,711,874 "
  Argentina ,"45,101,781 "
  Ukraine ,"43,795,220 "
  Algeria ,"42,679,018 "
  Sudan ,"42,514,094 "
  Iraq ,"40,412,299 "
  Poland ,"38,028,278 "
  Canada ,"37,279,811 "
  Afghanistan ,"37,209,007 "
  Morocco ,"36,635,156 "
  Saudi Arabia ,"34,140,662 "
  Peru ,"32,933,835 "
  Uzbekistan ,"32,807,368 "
  Venezuela ,"32,779,868 "
  Malaysia ,"32,454,455 "
  Angola ,"31,787,566 "
  Mozambique ,"31,408,823 "
  Ghana ,"30,096,970 "
  Nepal ,"29,942,018 "
  Yemen ,"29,579,986 "
  Madagascar ,"26,969,642 "
  North Korea ,"25,727,408 "
" ""Côte d Ivoire""","25,531,083 "
  Cameroon ,"25,312,993 "
  Australia ,"25,088,636 "
  Taiwan ,"23,758,247 "
  Niger ,"23,176,691 "
  Sri Lanka ,"21,018,859 "
  Burkina Faso ,"20,321,560 "
  Malawi ,"19,718,743 "
  Mali ,"19,689,140 "
  Romania ,"19,483,360 "
  Kazakhstan ,"18,592,970 "
  Syria ,"18,499,181 "
  Chile ,"18,336,653 "
  Zambia ,"18,137,369 "
  Guatemala ,"17,577,842 "
  Zimbabwe ,"17,297,495 "
  Netherlands ,"17,132,908 "
  Ecuador ,"17,100,444 "
  Senegal ,"16,743,859 "
  Cambodia ,"16,482,646 "
  Chad ,"15,814,345 "
  Somalia ,"15,636,171 "
  Guinea ,"13,398,180 "
  South Sudan ,"13,263,184 "
  Rwanda ,"12,794,412 "
  Benin ,"11,801,595 "
  Tunisia ,"11,783,168 "
  Burundi ,"11,575,964 "
  Belgium ,"11,562,784 "
  Cuba ,"11,492,046 "
  Bolivia ,"11,379,861 "
  Haiti ,"11,242,856 "
  Greece ,"11,124,603 "
  Dominican Republic ,"10,996,774 "
  Czechia ,"10,630,589 "
  Portugal ,"10,254,666 "
  Jordan ,"10,069,794 "
  Sweden ,"10,053,135 "
  Azerbaijan ,"10,014,575 "
  United Arab Emirates ,"9,682,088 "
  Hungary ,"9,655,361 "
  Honduras ,"9,568,688 "
  Belarus ,"9,433,874 "
  Tajikistan ,"9,292,000 "
  Austria ,"8,766,201 "
  Serbia ,"8,733,407 "
  Switzerland ,"8,608,259 "
  Papua New Guinea ,"8,586,525 "
  Israel ,"8,583,916 "
  Togo ,"8,186,384 "
  Sierra Leone ,"7,883,123 "
  Hong Kong ,"7,490,776 "
  Laos ,"7,064,242 "
  Bulgaria ,"6,988,739 "
  Paraguay ,"6,981,981 "
  Libya ,"6,569,864 "
  El Salvador ,"6,445,405 "
  Nicaragua ,"6,351,157 "
  Kyrgyzstan ,"6,218,616 "
  Lebanon ,"6,065,922 "
  Turkmenistan ,"5,942,561 "
  Singapore ,"5,868,104 "
  Denmark ,"5,775,224 "
  Finland ,"5,561,389 "
  Congo ,"5,542,197 "
  Slovakia ,"5,450,987 "
  Norway ,"5,400,916 "
  Eritrea ,"5,309,659 "
  State of Palestine ,"5,186,790 "
  Oman ,"5,001,875 "
  Costa Rica ,"4,999,384 "
  Liberia ,"4,977,720 "
  Ireland ,"4,847,139 "
  Central African Republic ,"4,825,711 "
  New Zealand ,"4,792,409 "
  Mauritania ,"4,661,149 "
  Kuwait ,"4,248,974 "
  Panama ,"4,226,197 "
  Croatia ,"4,140,148 "
  Moldova ,"4,029,750 "
  Georgia ,"3,904,204 "
  Puerto Rico ,"3,654,978 "
  Bosnia and Herzegovina ,"3,501,774 "
  Uruguay ,"3,482,156 "
  Mongolia ,"3,166,244 "
  Albania ,"2,938,428 "
  Armenia ,"2,936,706 "
  Jamaica ,"2,906,339 "
  Lithuania ,"2,864,459 "
  Qatar ,"2,743,901 "
  Namibia ,"2,641,996 "
  Botswana ,"2,374,636 "
  Lesotho ,"2,292,682 "
  Gambia ,"2,228,075 "
  Gabon ,"2,109,099 "
  North Macedonia ,"2,086,720 "
  Slovenia ,"2,081,900 "
  Guinea-Bissau ,"1,953,723 "
  Latvia ,"1,911,108 "
  Bahrain ,"1,637,896 "
  Swaziland ,"1,415,414 "
  Trinidad and Tobago ,"1,375,443 "
  Equatorial Guinea ,"1,360,104 "
  Timor-Leste ,"1,352,360 "
  Estonia ,"1,303,798 "
  Mauritius ,"1,271,368 "
  Cyprus ,"1,198,427 "
  Djibouti ,"985,690 "
  Fiji ,"918,757 "
  Réunion ,"889,918 "
  Comoros ,"850,910 "
  Bhutan ,"826,229 "
  Guyana ,"786,508 "
  Macao ,"642,090 "
  Solomon Islands ,"635,254 "
  Montenegro ,"629,355 "
  Luxembourg ,"596,992 "
  Western Sahara ,"582,478 "
  Suriname ,"573,085 "
  Cabo Verde ,"560,349 "
  Micronesia ,"536,579 "
  Maldives ,"451,738 "
  Guadeloupe ,"448,798 "
  Brunei ,"439,336 "
  Malta ,"433,245 "
  Bahamas ,"403,095 "
  Belize ,"390,231 "
  Martinique ,"385,320 "
  Iceland ,"340,566 "
  French Guiana ,"296,847 "
  French Polynesia ,"288,506 "
  Vanuatu ,"288,017 "
  Barbados ,"287,010 "
  New Caledonia ,"283,376 "
  Mayotte ,"266,380 "
  Sao Tome & Principe ,"213,379 "
  Samoa ,"198,909 "
  Saint Lucia ,"180,454 "
  Guam ,"167,245 "
  Channel Islands ,"166,828 "
  Curaçao ,"162,547 "
  Kiribati ,"120,428 "
  St. Vincent & Grenadines ,"110,488 "
  Tonga ,"110,041 "
  Grenada ,"108,825 "
  Aruba ,"106,053 "
  U.S. Virgin Islands ,"104,909 "
  Antigua and Barbuda ,"104,084 "
  Seychelles ,"95,702 "
  Isle of Man ,"85,369 "
  Andorra ,"77,072 "
  Dominica ,"74,679 "
  Cayman Islands ,"63,129 "
  Bermuda ,"60,833 "
  Greenland ,"56,673 "
  Saint Kitts & Nevis ,"56,345 "
  American Samoa ,"55,727 "
  Northern Mariana Islands ,"55,246 "
  Marshall Islands ,"53,211 "
  Faeroe Islands ,"49,692 "
  Sint Maarten ,"40,939 "
  Monaco ,"39,102 "
  Liechtenstein ,"38,404 "
  Turks and Caicos ,"36,461 "
  Gibraltar ,"34,879 "
  San Marino ,"33,683 "
  British Virgin Islands ,"32,206 "
  Caribbean Netherlands ,"25,971 "
  Palau ,"22,206 "
  Cook Islands ,"17,462 "
  Anguilla ,"15,174 "
  Wallis & Futuna ,"11,617 "
  Tuvalu ,"11,393 "
  Nauru ,"11,260 "
  Saint Pierre & Miquelon ,"6,375 "
  Montserrat ,"5,220 "
  Saint Helena ,"4,096 "
  Falkland Islands ,"2,921 "
  Niue ,"1,628 "
  Tokelau ,"1,340 "
  Holy See ,799 
